date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:02	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2001%20Oct%202019%2016:22:42%20GMT	http://agency.yolox.ancorathemes.com/robots.txt		(from )
22:06:05	600564/600564	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202019%2016:22:43%20GMT	http://agency.yolox.ancorathemes.com/	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/index.html	(from )
22:06:06	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2001%20Oct%202019%2016:22:46%20GMT	http://agency.yolox.ancorathemes.com/xmlrpc.php	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/xmlrpc.php	(from http://agency.yolox.ancorathemes.com/)
22:06:06	25242/25242	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f4-629a%22	http://agency.yolox.ancorathemes.com/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-includes/css/dist/block-library/style.min3c21.css	(from http://agency.yolox.ancorathemes.com/)
22:06:06	1685/1685	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f4-695%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.1	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/contact-form-7/includes/css/styles3c21.css	(from http://agency.yolox.ancorathemes.com/)
22:06:06	13118/13118	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-333e%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.12	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/instagram-feed/css/sb-instagram.min2f3e.css	(from http://agency.yolox.ancorathemes.com/)
22:06:07	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/aganex/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://agency.yolox.ancorathemes.com/)
22:06:07	17043/17043	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-4293%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=5.1.1	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/social-pug/assets/css/style-frontend3c21.css	(from http://agency.yolox.ancorathemes.com/)
22:06:08	6361/6361	---MC-	200	added ('OK')	application/rss+xml	etag:%225398c8077d1a710fce9dc93990dec8c8%22	http://agency.yolox.ancorathemes.com/comments/feed/	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/comments/feed/index.html	(from http://agency.yolox.ancorathemes.com/)
22:06:08	904/904	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-388%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.debug.css	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.debug.css	(from http://agency.yolox.ancorathemes.com/)
22:06:11	19773/19773	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-4d3d%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/js/swiper/swiper.min.css	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/js/swiper/swiper.min.css	(from http://agency.yolox.ancorathemes.com/)
22:06:11	1841/1841	---MC-	200	added ('OK')	text/calendar	date:Tue,%2001%20Oct%202019%2016:22:49%20GMT	http://agency.yolox.ancorathemes.com/events/?ical=1	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/events/indexedf3.html	(from http://agency.yolox.ancorathemes.com/)
22:06:12	223284/223284	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-36834%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/font-icons/css/trx_addons_icons-embedded.css	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/font-icons/css/trx_addons_icons-embedded.css	(from http://agency.yolox.ancorathemes.com/)
22:06:12	5156/5156	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-1424%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/js/magnific/magnific-popup.min.css	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/js/magnific/magnific-popup.min.css	(from http://agency.yolox.ancorathemes.com/)
22:06:13	384677/384677	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-5dea5%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.css	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.css	(from http://agency.yolox.ancorathemes.com/)
22:06:14	82025/82025	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-14069%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.animation.css	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.animation.css	(from http://agency.yolox.ancorathemes.com/)
22:06:14	11514/11514	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-2cfa%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=4.3.0	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb2f9.css	(from http://agency.yolox.ancorathemes.com/)
22:06:14	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-7918%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://agency.yolox.ancorathemes.com/)
22:06:14	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-4824%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.5.13	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/lib/animations/animations.min1ce0.css	(from http://agency.yolox.ancorathemes.com/)
22:06:14	94834/94834	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f5-17272%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.5.13	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/elementor/assets/css/frontend.min1ce0.css	(from http://agency.yolox.ancorathemes.com/)
22:06:15	9622/9622	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f6-2596%22	http://agency.yolox.ancorathemes.com/wp-content/plugins/wp-gdpr-compliance/assets/css/front.css?ver=1556805110	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/plugins/wp-gdpr-compliance/assets/css/fronte60f.css	(from http://agency.yolox.ancorathemes.com/)
22:06:20	11232/11232	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f4-2be0%22	http://agency.yolox.ancorathemes.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from http://agency.yolox.ancorathemes.com/)
22:06:21	349777/349777	---MCZ	200	added ('OK')	text/css	etag:W/%225ccabc6c-55651%22	http://agency.yolox.ancorathemes.com/wp-content/themes/yolox/style.css	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-content/themes/yolox/style.css	(from http://agency.yolox.ancorathemes.com/)
22:06:22	4163/4163	---MCZ	200	added ('OK')	text/css	etag:W/%225ccaf5f4-1043%22	http://agency.yolox.ancorathemes.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=5.1.1	C:/My%20Web%20Sites/aganex/agency.yolox.ancorathemes.com/wp-includes/js/mediaelement/wp-mediaelement.min3c21.css	(from http://agency.yolox.ancorathemes.com/)
